# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.updates.count,1743796966760000000,1743796972521000000,0
workspaceModel.initializing.ms,1743796966760000000,1743796972521000000,0
workspaceModel.collect.changes.ms,1743796966760000000,1743796972521000000,0
workspaceModel.pre.handlers.ms,1743796966760000000,1743796972521000000,0
workspaceModel.updates.precise.ms,1743796966760000000,1743796972521000000,0
workspaceModel.to.snapshot.ms,1743796966760000000,1743796972521000000,0
workspaceModel.loading.total.ms,1743796966760000000,1743796972521000000,9
workspaceModel.init.bridges.ms,1743796966760000000,1743796972521000000,0
workspaceModel.replace.project.model.ms,1743796966760000000,1743796972521000000,0
workspaceModel.updates.ms,1743796966760000000,1743796972521000000,0
workspaceModel.update.unloaded.entities.ms,1743796966760000000,1743796972521000000,0
workspaceModel.check.recursive.update.ms,1743796966760000000,1743796972521000000,0
workspaceModel.loading.from.cache.ms,1743796966760000000,1743796972521000000,7
FileNameCache.totalMisses,1743796966760000000,1743796972521000000,100
FileNameCache.fastMisses,1743796966760000000,1743796972521000000,179
FileNameCache.queries,1743796966760000000,1743796972521000000,25399
FilePageCache.disposedBuffers,1743796966760000000,1743796972521000000,259
DirectByteBufferAllocator.disposed,1743796966760000000,1743796972521000000,213
FilePageCache.maxCacheSizeInBytes,1743796966760000000,1743796972521000000,275791872
StorageLockContext.competingThreads.avg,1743796966760000000,1743796972521000000,0.0
FilePageCache.pageLoadsAboveSizeThreshold,1743796966760000000,1743796972521000000,0
DirectByteBufferAllocator.hits,1743796966760000000,1743796972521000000,3
FilePageCache.pageHits,1743796966760000000,1743796972521000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1743796966760000000,1743796972521000000,52445184
FilePageCache.totalPageDisposalsUs,1743796966760000000,1743796972521000000,426
FilePageCache.capacityInBytes,1743796966760000000,1743796972521000000,524288000
FilePageCache.maxRegisteredFiles,1743796966760000000,1743796972521000000,612
StorageLockContext.competingThreads.90P,1743796966760000000,1743796972521000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1743796966760000000,1743796972521000000,52445184
DirectByteBufferAllocator.reclaimed,1743796966760000000,1743796972521000000,46
FilePageCache.pageLoads,1743796966760000000,1743796972521000000,259
StorageLockContext.competingThreads.max,1743796966760000000,1743796972521000000,0
DirectByteBufferAllocator.misses,1743796966760000000,1743796972521000000,256
FilePageCache.totalPageLoadsUs,1743796966760000000,1743796972521000000,143460
FilePageCache.pageFastCacheHits,1743796966760000000,1743796972521000000,6686
FilePageCache.uncachedFileAccess,1743796966760000000,1743796972521000000,120
workspaceModel.load.cache.from.file.ms,1743796966760000000,1743796972521000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1743796966760000000,1743796972521000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1743796966760000000,1743796972521000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1743796966760000000,1743796972521000000,1
workspaceModel.mutableEntityStorage.put.entity.ms,1743796966760000000,1743796972521000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1743796966760000000,1743796972521000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1743796966760000000,1743796972521000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1743796966760000000,1743796972521000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1743796966760000000,1743796972521000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1743796966760000000,1743796972521000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1743796966760000000,1743796972521000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1743796966760000000,1743796972521000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1743796966760000000,1743796972521000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1743796966760000000,1743796972521000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1743796966760000000,1743796972521000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1743796966760000000,1743796972521000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1743796966760000000,1743796972521000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1743796966760000000,1743796972521000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1743796966760000000,1743796972521000000,0
workspaceModel.mutableEntityStorage.entities.ms,1743796966760000000,1743796972521000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1743796966760000000,1743796972521000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1743796966760000000,1743796972521000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1743796966760000000,1743796972521000000,0
workspaceModel.save.cache.to.file.ms,1743796966760000000,1743796972521000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1743796966760000000,1743796972521000000,0
NonBlockingReadAction.finalizedExecutionsCount,1743796966760000000,1743796972521000000,15
NonBlockingReadAction.failedExecutionTimeUs,1743796966760000000,1743796972521000000,0
AWTEventQueue.dispatchTimeTotalNS,1743796966760000000,1743796972521000000,4636790652
NonBlockingReadAction.finalizedExecutionTimeUs,1743796966760000000,1743796972521000000,172830
NonBlockingReadAction.failedExecutionsCount,1743796966760000000,1743796972521000000,0
